20.02, -17.75
20.56, -16.49
21.23, -15.29
22.08, -14.14
23.11, -13.01
24.31, -11.98
25.56, -11.08
26.89, -10.26
28.28, -9.52
29.74, -8.83
31.28, -8.21
32.89, -7.60
34.59, -7.06
36.38, -6.54
38.26, -6.05
40.24, -5.58
42.32, -5.15
44.51, -4.73
46.81, -4.34
49.23, -3.96
51.78, -3.58
54.46, -3.24
57.27, -2.92
60.23, -2.60
63.35, -2.31
66.62, -2.04
70.07, -1.79
73.69, -1.53
77.50, -1.31
81.51, -1.10
85.72, -0.92
90.16, -0.75
94.82, -0.63
99.72, -0.54
104.88, -0.52
110.30, -0.51
116.00, -0.47
122.00, -0.46
128.31, -0.42
134.94, -0.41
141.92, -0.37
149.26, -0.34
156.98, -0.31
165.09, -0.28
173.63, -0.23
182.61, -0.19
192.05, -0.14
201.98, -0.09
212.42, -0.02
223.41, 0.04
234.96, 0.05
247.11, 0.03
259.88, -0.03
273.32, -0.11
287.45, -0.21
302.31, -0.32
317.95, -0.44
334.39, -0.56
351.68, -0.66
369.86, -0.75
388.98, -0.85
409.10, -0.90
430.25, -0.93
452.50, -0.89
475.89, -0.84
500.50, -0.80
526.38, -0.75
553.60, -0.71
582.22, -0.67
612.32, -0.63
643.99, -0.58
677.28, -0.53
712.30, -0.50
749.13, -0.46
787.87, -0.42
828.61, -0.37
871.45, -0.34
916.51, -0.31
963.90, -0.27
1013.74, -0.26
1066.16, -0.30
1121.28, -0.31
1179.26, -0.29
1240.23, -0.26
1304.36, -0.21
1371.81, -0.18
1442.74, -0.12
1517.34, -0.08
1595.79, 0.00
1678.30, 0.08
1765.08, 0.15
1856.35, 0.25
1952.33, 0.36
2053.28, 0.46
2159.45, 0.59
2271.11, 0.72
2388.54, 0.87
2512.04, 1.05
2641.93, 1.25
2778.53, 1.51
2922.20, 1.81
3073.29, 2.13
3232.20, 2.46
3399.33, 2.75
3575.09, 3.04
3759.95, 3.30
3954.36, 3.51
4158.82, 3.68
4373.86, 3.81
4600.02, 3.90
4837.87, 3.95
5088.01, 3.96
5351.10, 3.89
5627.78, 3.81
5918.77, 3.68
6224.81, 3.52
6546.67, 3.36
6885.17, 3.20
7241.18, 3.06
7615.60, 2.92
8009.37, 2.76
8423.50, 2.56
8859.05, 2.25
9317.12, 1.86
9798.87, 1.46
10305.53, 1.19
10838.39, 1.02
11398.81, 0.86
11988.20, 0.70
12608.06, 0.55
13259.97, 0.41
13945.60, 0.27
14666.67, 0.14
15425.03, 0.00
16222.60, -0.14
17061.41, -0.28
17943.59, -0.41
18871.39, -0.55
19801.73, -0.66
